"[47.500347999999995, 19.095762000000001]"
"[47.500436000000001, 19.094504999999998]"
"[47.500523999999999, 19.086091]"
"[47.501604, 19.084963000000002]"
"[47.489218999999999, 19.061795]"
"[47.497190000000003, 19.072452999999999]"
"[47.494028, 19.058983999999999]"
"[47.498146999999996, 19.084336999999998]"
"[47.499454999999998, 19.079464000000002]"
"[47.497661000000001, 19.069973999999998]"
"[47.484763000000001, 19.065135999999999]"
"[47.483571999999995, 19.063292999999998]"
"[47.485226000000004, 19.062193000000001]"
"[47.484033000000004, 19.053414]"
"[47.487082000000001, 19.060717]"
"[47.490813000000003, 19.056660999999998]"
"[47.489694, 19.061038]"
"[47.494087999999998, 19.054798000000002]"
"[47.496138999999999, 19.052561999999998]"
"[47.498227, 19.052682999999998]"
"[47.496794999999999, 19.067495999999998]"
"[47.493859, 19.07113]"
"[47.486096000000003, 19.070648000000002]"
"[47.503233999999999, 19.054960999999999]"
"[47.511245000000002, 19.056607999999997]"
"[47.478909999999999, 19.101116000000001]"
"[47.480361000000002, 19.102356]"
"[47.482534999999999, 19.104165999999999]"
"[47.514963999999999, 19.094101999999999]"
"[47.489018000000002, 19.094593]"
"[47.489387000000001, 19.090375000000002]"
"[47.488872999999998, 19.085819000000001]"
"[47.488558000000005, 19.084979000000001]"
"[47.492503999999997, 19.086254999999998]"
"[47.487304999999999, 19.083398000000003]"
"[47.487982000000002, 19.084845999999999]"
"[47.487183000000002, 19.083701000000001]"
"[47.485790999999999, 19.080617]"
"[47.483584999999998, 19.079891]"
"[47.483843, 19.079999999999998]"
"[47.483055999999998, 19.079420000000002]"
"[47.483344000000002, 19.079649]"
"[47.491409999999995, 19.084236999999998]"
"[47.493648, 19.081256]"
"[47.494146999999998, 19.079595000000001]"
"[47.494709999999998, 19.077724]"
"[47.494914999999999, 19.077181]"
"[47.495967999999998, 19.072551000000001]"
"[47.496161999999998, 19.070677]"
"[47.493062999999999, 19.070864]"
"[47.486715999999994, 19.106193999999999]"
"[47.485534999999999, 19.080938]"
"[47.486319000000002, 19.069855]"
"[47.480710999999999, 19.067003]"
"[47.479946999999996, 19.068398000000002]"
"[47.482628999999996, 19.06878]"
"[47.504294000000002, 19.064404999999997]"
"[47.504576, 19.064084000000001]"
"[47.501984, 19.067519000000001]"
"[47.501528, 19.067464999999999]"
"[47.499704999999999, 19.069140000000001]"
"[47.496996000000003, 19.070157999999999]"
"[47.496351000000004, 19.070464999999999]"
"[47.492415999999999, 19.071051999999998]"
"[47.486775999999999, 19.070269]"
"[47.501362999999998, 19.077544]"
"[47.501600000000003, 19.075237999999999]"
"[47.502777000000002, 19.077263000000002]"
"[47.504784000000001, 19.081804999999999]"
"[47.505978999999996, 19.084395000000001]"
"[47.510721999999994, 19.091298000000002]"
"[47.511983000000001, 19.102964]"
"[47.48742, 19.104330999999998]"
"[47.482582999999998, 19.069967999999999]"
"[47.482914000000001, 19.069754]"
"[47.503595000000004, 19.102736]"
"[47.493009000000001, 19.071151]"
"[47.492215000000002, 19.070919]"
"[47.514471, 19.064642000000003]"
"[47.510275999999998, 19.056257000000002]"
"[47.512003, 19.053617000000003]"
"[47.513764000000002, 19.053349000000001]"
"[47.507465000000003, 19.052651999999998]"
"[47.507438999999998, 19.054722000000002]"
"[47.504852, 19.054921]"
"[47.500658000000001, 19.05481]"
"[47.495577000000004, 19.058744000000001]"
"[47.490008000000003, 19.062073000000002]"
"[47.488909999999997, 19.063974999999999]"
"[47.487814, 19.066772]"
"[47.486325000000001, 19.068770999999998]"
"[47.498587000000001, 19.069779]"
"[47.511414000000002, 19.054107000000002]"
"[47.515338, 19.052326000000001]"
"[47.500610999999999, 19.068557999999999]"
"[47.485737, 19.066639000000002]"
"[47.487353999999996, 19.066355999999999]"
"[47.488015999999995, 19.065283999999998]"
"[47.488607999999999, 19.064254999999999]"
"[47.494771999999998, 19.059619000000001]"
"[47.496986, 19.056756]"
"[47.498602000000005, 19.055098999999998]"
"[47.500147999999996, 19.05508]"
"[47.501028000000005, 19.055046000000001]"
"[47.503568000000001, 19.055011999999998]"
"[47.508561, 19.055199999999999]"
"[47.507064, 19.055123999999999]"
"[47.512409999999996, 19.057182000000001]"
"[47.515503000000002, 19.059387000000001]"
"[47.504311999999999, 19.086935]"
"[47.506811999999996, 19.104531999999999]"
"[47.507121999999995, 19.104176000000002]"
"[47.513622999999995, 19.094674999999999]"
"[47.513801000000001, 19.092687999999999]"
"[47.515509999999999, 19.090254999999999]"
"[47.513987999999998, 19.075859000000001]"
"[47.511282999999999, 19.072348999999999]"
"[47.517328000000006, 19.054641]"
"[47.515062999999998, 19.055417000000002]"
"[47.513571999999996, 19.054869]"
"[47.512114000000004, 19.054348000000001]"
"[47.511383000000002, 19.055817000000001]"
"[47.509378000000005, 19.057223]"
"[47.508404999999996, 19.057773999999998]"
"[47.507246000000002, 19.057192000000001]"
"[47.504302000000003, 19.05904]"
"[47.503442, 19.060304000000002]"
"[47.501984, 19.062228000000001]"
"[47.501328999999998, 19.061648000000002]"
"[47.500199000000002, 19.060853999999999]"
"[47.498522999999999, 19.061842000000002]"
"[47.496442999999999, 19.063867999999999]"
"[47.495399999999997, 19.063576000000001]"
"[47.48068, 19.053854000000001]"
"[47.507010999999999, 19.061722]"
"[47.507950999999998, 19.059885999999999]"
"[47.509109000000002, 19.057829000000002]"
"[47.509816000000001, 19.056985000000001]"
"[47.48359, 19.096952999999999]"
"[47.486505999999999, 19.092711999999999]"
"[47.481091999999997, 19.102468999999999]"
"[47.483167999999999, 19.100611999999998]"
"[47.511195000000001, 19.068514999999998]"
"[47.51285, 19.06897]"
"[47.514735999999999, 19.067001999999999]"
"[47.502057999999998, 19.070650000000001]"
"[47.503579999999999, 19.06908]"
"[47.509176000000004, 19.069355999999999]"
"[47.496259000000002, 19.075536]"
"[47.491388000000001, 19.084278000000001]"
"[47.491997999999995, 19.080701999999999]"
"[47.492930000000001, 19.078329999999998]"
"[47.498699999999999, 19.071165000000001]"
"[47.499842999999998, 19.071995000000001]"
"[47.487475000000003, 19.089400000000001]"
"[47.488983000000005, 19.087243000000001]"
"[47.509712, 19.068234]"
"[47.504643000000002, 19.06908]"
"[47.479774999999997, 19.0563]"
"[47.483584999999998, 19.054555999999998]"
"[47.481104999999999, 19.066427999999998]"
"[47.497436999999998, 19.072967000000002]"
"[47.496695000000003, 19.070610000000002]"
"[47.49483, 19.076429999999998]"
"[47.496078000000004, 19.071866]"
"[47.506397, 19.068929999999998]"
"[47.484059999999999, 19.057179999999999]"
"[47.484152000000002, 19.052182000000002]"
"[47.480858000000005, 19.056190000000001]"
"[47.480484000000004, 19.060248000000001]"
"[47.489725, 19.063965]"
"[47.488793000000001, 19.060326999999997]"
"[47.487842000000001, 19.058530999999999]"
"[47.483000000000004, 19.064395000000001]"
"[47.482638999999999, 19.067935000000002]"
"[47.483266999999998, 19.06607]"
"[47.481014999999999, 19.069929999999999]"
"[47.487200000000001, 19.063179999999999]"
"[47.486138000000004, 19.063922000000002]"
"[47.489753999999998, 19.059860999999998]"
"[47.48189, 19.095784999999999]"
"[47.478499999999997, 19.10005]"
"[47.478520000000003, 19.093350000000001]"
"[47.479934, 19.094422000000002]"
"[47.515239000000001, 19.093927999999998]"
"[47.506993000000001, 19.104373000000002]"
"[47.510391999999996, 19.100439999999999]"
"[47.481940000000002, 19.095860000000002]"
"[47.504977000000004, 19.106082999999998]"
"[47.499023000000001, 19.055250000000001]"
"[47.500664, 19.053186]"
"[47.491646000000003, 19.059987]"
"[47.499524999999998, 19.054129999999997]"
"[47.490819999999999, 19.05941]"
"[47.491112999999999, 19.056934999999999]"
"[47.492550000000001, 19.05491]"
"[47.497877000000003, 19.052582000000001]"
"[47.502066999999997, 19.054257]"
